sex,age,fare,cabin,embarked,title,survived
female,24.0,37.0042,,C,Mrs,1
male,24.0,7.8542,,S,Mr,0
female,38.0,31.3875,,S,Mrs,1
male,20.0,7.8542,,S,Mr,0
male,0.3333,14.4,,S,Master,0
male,25.0,13.0,,S,Mr,0
female,36.0,71.0,B22,S,Miss,1
male,25.0,10.5,,S,Mr,0
male,28.0,7.8958,,S,Mr,0
female,16.0,7.7333,,Q,Miss,1
male,42.0,32.5,,S,Mr,0
female,,7.75,,Q,Miss,1
male,61.0,262.375,B57,C,Mr,0
male,45.0,8.05,,S,Mr,1
female,45.0,164.8667,,S,Mrs,1
female,48.0,34.375,,S,Mrs,0
female,23.0,263.0,C23,S,Miss,1
male,,7.2292,,C,Master,0
male,13.0,262.375,B57,C,Master,1
female,50.0,26.0,,S,Mrs,1
female,39.0,55.9,E44,S,Mrs,1
female,41.0,20.2125,,S,Mrs,0
female,8.0,21.075,,S,Miss,0
male,24.0,82.2667,B45,S,Mr,1
male,,7.8958,,S,Mr,0
male,23.0,10.5,,S,Mr,0
female,22.0,49.5,B39,C,Miss,1
female,0.9167,27.75,,S,Miss,1
male,,56.4958,,S,Mr,0
male,,56.4958,,S,Mr,1
male,24.0,247.5208,B58,C,Mr,0
male,22.0,7.8958,,S,Mr,0
male,0.8333,18.75,,S,Master,1
male,26.0,18.7875,,C,Mr,1
female,,7.75,,Q,Other,0
male,17.0,8.6625,,S,Mr,0
male,,8.05,,S,Mr,0
male,60.0,39.0,,S,Mr,0
male,26.0,13.0,F2,S,Mr,0
male,18.0,20.2125,,S,Mr,0
female,26.0,22.025,,S,Mrs,1
female,24.0,26.0,,S,Mrs,1
female,27.0,247.5208,B58,C,Mrs,1
male,,23.25,,Q,Mr,1
male,,7.2292,,C,Mr,0
male,21.0,8.05,,S,Mr,0
male,,29.7,C47,C,Mr,1
male,20.0,7.8542,,S,Mr,0
male,35.0,512.3292,B101,C,Mr,1
male,28.0,9.5,,S,Mr,0
male,28.0,33.0,,S,Other,0
male,29.0,13.8583,,C,Mr,1
male,,14.5,,S,Mr,0
male,26.0,8.6625,,S,Mr,0
male,4.0,27.9,,S,Master,0
male,41.0,51.8625,D21,S,Mr,0
male,,7.55,,S,Mr,0
male,70.0,71.0,B22,S,Other,0
male,56.0,30.6958,A7,C,Mr,0
male,37.0,83.1583,E52,C,Mr,0
male,60.5,,,S,Mr,0
female,29.0,26.0,,S,Mrs,1
female,1.0,11.1333,,S,Miss,1
male,,23.45,,S,Master,0
male,33.0,7.8542,,S,Mr,0
female,31.0,21.0,,S,Mrs,1
male,,7.75,,Q,Mr,1
male,,7.75,F38,Q,Mr,0
female,33.0,151.55,,S,Miss,1
female,13.0,19.5,,S,Miss,1
female,4.0,23.0,,S,Miss,1
female,30.0,13.8583,,C,Miss,1
male,,7.725,,Q,Mr,0
female,22.0,7.725,,Q,Miss,1
male,,7.8792,,Q,Mr,0
female,30.0,56.9292,E36,C,Miss,1
female,2.0,26.0,,S,Miss,1
male,49.0,110.8833,C68,C,Mr,0
male,35.0,26.2875,E24,S,Mr,1
male,2.0,23.0,,S,Master,1
female,42.0,26.0,,S,Mrs,1
female,2.0,151.55,C22,S,Miss,0
male,18.0,13.0,,S,Mr,0
male,,8.05,,S,Mr,0
male,28.0,26.0,,S,Mr,0
male,25.0,13.0,,S,Mr,0
male,24.0,7.1417,,S,Mr,1
female,30.0,106.425,,C,Miss,1
male,,8.05,,S,Mr,0
female,,7.8792,,Q,Miss,1
female,0.75,19.2583,,C,Miss,1
male,33.0,8.6542,,S,Mr,0
male,26.0,14.4542,,C,Mr,0
male,4.0,29.125,,Q,Master,0
male,20.0,13.8625,D38,C,Mr,1
female,30.0,24.15,,S,Mrs,0
female,18.0,23.0,,S,Miss,1
male,32.0,7.8542,,S,Mr,1
male,32.0,30.5,B50,C,Other,1
male,31.0,50.4958,A24,S,Mr,0
male,25.0,0.0,,S,Mr,1
male,42.0,8.4042,,S,Mr,0
male,30.0,27.75,C111,C,Mr,0
male,,7.2292,,C,Mr,0
male,26.5,7.225,,C,Mr,0
male,41.0,7.85,,S,Mr,0
male,,7.0,,S,Mr,0
male,32.0,7.8958,,S,Mr,0
female,1.0,15.7417,,C,Miss,1
male,,15.2458,,C,Master,1
male,18.5,13.0,F,S,Mr,0
male,20.0,7.925,,S,Mr,0
female,24.0,8.85,,S,Miss,0
male,52.0,13.5,,S,Mr,0
male,32.0,15.85,,S,Mr,0
male,21.0,7.25,,S,Mr,0
male,,0.0,,S,Mr,0
male,46.0,75.2417,C6,C,Mr,0
male,62.0,26.55,C87,S,Mr,0
female,33.0,53.1,E8,S,Mrs,1
female,22.0,41.5792,,C,Mrs,1
male,18.0,8.3,,S,Mr,0
male,31.0,7.775,,S,Mr,0
female,23.0,82.2667,B45,S,Mrs,1
male,,7.2292,,C,Mr,0
male,,0.0,,S,Mr,0
male,38.0,90.0,C93,S,Mr,1
male,16.0,9.5,,S,Mr,0
male,,7.8958,,C,Mr,0
male,36.0,27.75,,S,Mr,0
female,22.0,7.25,,S,Miss,1
female,,7.225,,C,Mrs,1
female,,69.55,,S,Miss,0
male,,7.25,,S,Mr,0
male,22.0,9.0,,S,Mr,0
female,51.0,39.4,D28,S,Mrs,1
male,,39.6,,C,Other,0
male,24.0,7.55,,S,Mr,1
male,38.0,7.05,,S,Mr,0
male,31.0,7.75,,Q,Mr,0
female,,15.2458,,C,Mrs,1
male,51.0,61.3792,,C,Mr,0
female,23.0,113.275,D36,C,Miss,1
male,25.0,7.775,,S,Mr,0
male,40.0,7.8958,,S,Mr,0
male,40.0,31.3875,,S,Mr,0
female,35.0,21.0,,S,Miss,1
female,18.0,7.4958,,S,Miss,1
female,40.0,153.4625,C125,S,Miss,1
male,36.0,75.2417,C6,C,Mr,0
female,24.0,69.3,B35,C,Other,1
male,45.0,35.5,T,S,Mr,0
female,18.0,18.0,,S,Miss,0
female,20.0,7.8542,,S,Miss,0
female,30.0,93.5,B73,S,Miss,1
male,32.0,10.5,,S,Mr,0
female,2.0,20.2125,,S,Miss,0
male,32.0,56.4958,,S,Mr,1
female,48.0,262.375,B57,C,Mrs,1
male,28.0,9.5,,S,Mr,0
female,,7.7333,,Q,Miss,1
male,39.0,31.275,,S,Mr,0
male,19.0,7.8958,,S,Mr,0
male,16.0,8.05,,S,Mr,1
female,21.0,10.5,,S,Miss,1
male,56.0,35.5,A26,C,Other,1
male,,0.0,,S,Mr,0
male,24.0,9.325,,S,Mr,0
male,39.0,29.7,A18,C,Mr,0
male,32.0,7.5792,,S,Mr,1
female,27.0,7.925,,S,Miss,0
male,26.0,20.575,,S,Mr,0
male,14.0,39.6875,,S,Mr,0
female,,7.75,,Q,Miss,1
female,21.0,26.55,,S,Miss,1
female,23.0,8.05,,S,Miss,1
male,,7.8958,,S,Mr,0
female,,7.7375,,Q,Miss,1
male,,9.5,,S,Mr,0
male,11.0,120.0,B96,S,Master,1
male,34.0,14.4,,S,Mr,0
male,30.0,16.1,,S,Mr,0
male,,69.55,,S,Mr,0
male,61.0,12.35,,Q,Mr,0
male,,7.2292,,C,Mr,0
female,45.0,13.5,,S,Mrs,1
female,24.0,16.7,G6,S,Mrs,1
female,26.0,16.1,,S,Mrs,0
male,,15.5792,,C,Mr,0
male,21.0,24.15,,S,Mr,0
male,16.0,7.775,,S,Mr,0
female,22.0,7.775,,S,Miss,1
male,,7.8958,,C,Mr,0
male,54.0,26.0,,S,Other,0
male,23.0,13.9,,S,Mr,0
female,,23.45,,S,Miss,0
male,,7.75,,Q,Mr,0
male,44.0,90.0,C78,Q,Other,0
female,55.0,25.7,C101,S,Mrs,1
female,21.0,77.9583,D9,S,Miss,1
male,1.0,37.0042,,C,Master,1
male,,7.75,,Q,Mr,1
male,48.0,76.7292,D33,C,Mr,1
male,,35.0,C128,S,Mr,0
male,20.0,7.225,,C,Mr,0
male,33.0,12.275,,S,Mr,0
female,25.0,55.4417,E50,C,Mrs,1
female,28.0,7.775,,S,Miss,0
male,30.0,7.8958,,S,Mr,0
female,28.0,13.0,,S,Other,1
male,26.0,7.8958,,S,Mr,0
male,,7.55,,S,Mr,0
female,64.0,26.55,B26,S,Mrs,1
male,55.0,93.5,B69,S,Mr,0
male,,7.75,,Q,Mr,0
female,27.0,12.475,E121,S,Mrs,1
male,25.0,9.5,,S,Mr,1
female,35.0,53.1,C123,S,Mrs,1
male,,8.05,,S,Mr,0
male,23.0,13.0,,S,Mr,0
male,40.0,0.0,B94,S,Mr,0
male,24.0,8.05,,S,Mr,0
male,38.0,21.0,,S,Mr,0
male,28.0,7.25,,S,Mr,0
female,22.0,9.8375,,S,Miss,0
male,,15.5,,Q,Mr,0
male,35.0,7.8958,,S,Mr,0
female,,7.75,,Q,Miss,1
male,12.0,11.2417,,C,Master,1
female,40.0,39.0,,S,Mrs,1
female,54.0,81.8583,A34,S,Mrs,1
male,,26.55,,S,Mr,1
male,36.0,12.875,D,C,Mr,0
male,25.0,55.4417,E50,C,Mr,1
male,40.0,7.225,,C,Mr,0
male,55.0,50.0,C39,S,Mr,0
male,19.0,10.5,,S,Mr,0
male,23.0,7.8542,,S,Mr,0
male,22.0,7.225,,C,Mr,1
female,22.0,12.2875,,S,Mrs,1
male,43.0,8.05,,S,Mr,0
male,22.0,135.6333,,C,Mr,0
male,28.5,27.7208,D43,C,Mr,0
female,22.0,39.6875,,S,Miss,0
male,29.0,9.4833,,S,Mr,0
male,24.0,24.15,,S,Mr,0
male,21.0,8.05,,S,Mr,0
male,30.0,21.0,,S,Mr,0
male,46.0,61.175,E31,S,Mr,0
female,15.0,211.3375,B5,S,Miss,1
male,,39.6,,S,Mr,1
female,49.0,25.9292,D17,S,Other,1
male,21.0,7.7333,,Q,Mr,0
female,29.0,10.5,F33,S,Mrs,1
female,18.0,8.05,,S,Miss,1
female,37.0,9.5875,,S,Miss,0
female,40.0,15.75,,S,Mrs,1
female,,21.0,,S,Mrs,0
male,,16.1,,S,Mr,0
male,,7.8958,,S,Mr,0
male,18.0,11.5,,S,Mr,0
male,50.0,55.9,E44,S,Mr,0
female,63.0,77.9583,D7,S,Miss,1
male,56.0,26.55,,S,Mr,0
male,41.0,30.5,A21,S,Mr,0
male,33.0,9.5,,S,Mr,0
female,30.0,21.0,,S,Mrs,1
male,,26.55,D34,S,Mr,0
female,19.0,7.8542,,S,Miss,1
female,36.0,31.6792,A29,C,Miss,0
male,39.0,7.925,,S,Mr,1
female,34.0,10.5,F33,S,Mrs,1
female,27.0,11.1333,,S,Mrs,1
male,37.0,52.5542,D35,S,Mr,1
female,33.0,27.7208,A11,C,Miss,1
female,58.0,512.3292,B51,C,Mrs,1
male,42.0,52.0,,S,Mr,0
male,14.0,46.9,,S,Mr,0
male,29.0,7.75,,Q,Mr,1
male,41.0,14.1083,,S,Mr,0
male,47.0,34.0208,D46,S,Mr,0
male,50.0,26.0,E60,S,Mr,0
male,48.0,7.8542,,S,Mr,0
male,,7.8958,,S,Mr,0
male,27.0,8.6625,,S,Mr,0
female,27.0,7.8792,,Q,Miss,0
female,20.0,9.825,,S,Miss,0
female,29.0,10.4625,G6,S,Mrs,0
male,55.0,30.5,C30,S,Mr,0
female,19.0,13.0,,S,Miss,1
male,54.0,77.2875,D26,S,Mr,0
male,64.0,26.0,,S,Mr,0
male,,7.55,,S,Mr,0
female,18.0,79.65,E68,S,Miss,1
male,31.0,26.25,,S,Mr,0
female,35.0,90.0,C93,S,Mrs,1
male,24.0,13.5,,S,Mr,0
female,23.0,7.8542,,S,Miss,1
male,24.0,7.05,,S,Mr,0
female,24.0,69.3,B35,C,Other,1
male,39.0,13.0,,S,Mr,0
male,,7.75,,Q,Mr,0
male,45.0,29.7,A9,C,Mr,1
female,27.0,52.0,B71,S,Mrs,1
male,32.0,7.925,,S,Mr,0
female,22.0,10.5,F33,S,Mrs,1
male,29.0,26.0,,S,Mr,0
female,30.0,31.0,,C,Miss,1
male,19.0,8.1583,,S,Mr,0
female,60.0,75.25,D37,C,Mrs,1
male,,69.55,,S,Master,0
male,,0.0,,S,Mr,0
male,40.5,14.5,,S,Mr,0
female,18.0,14.4542,,C,Miss,0
female,59.0,51.4792,C101,S,Mrs,1
female,37.0,90.0,C78,Q,Mrs,1
male,50.0,8.05,,S,Mr,0
male,25.0,7.8958,,S,Mr,0
female,,23.25,,Q,Miss,1
male,31.0,13.0,,S,Mr,1
male,,7.75,,Q,Mr,1
male,3.0,26.0,F2,S,Master,1
male,67.0,221.7792,C55,S,Mr,0
male,28.0,7.8958,,S,Mr,0
male,27.0,136.7792,C89,C,Mr,0
male,59.0,13.5,,S,Mr,0
male,,26.55,C124,S,Mr,0
female,2.0,10.4625,G6,S,Miss,0
female,23.0,7.55,,S,Miss,1
male,31.0,37.0042,,C,Mr,0
female,60.0,263.0,C23,S,Mrs,1
female,,52.0,C126,S,Mrs,1
female,39.0,83.1583,E49,C,Miss,1
female,53.0,27.4458,,C,Mrs,1
male,22.0,7.25,,S,Mr,0
male,,7.75,,Q,Mr,0
female,21.0,7.65,,S,Miss,1
male,23.0,10.5,,S,Mr,0
male,40.0,13.0,,S,Mr,0
male,4.0,31.275,,S,Master,0
female,40.0,13.0,,S,Miss,1
male,,7.25,,S,Mr,0
male,25.0,7.8958,,S,Mr,0
male,36.0,13.0,,S,Mr,0
male,,7.2292,F,C,Mr,0
male,45.5,7.225,,C,Mr,0
male,32.0,8.3625,,S,Mr,0
female,48.0,25.9292,D17,S,Mrs,1
male,27.0,7.7958,,S,Mr,1
male,,13.8625,,C,Mr,1
male,,51.8625,E46,S,Mr,0
female,19.0,26.0,,S,Mrs,1
male,25.0,7.05,,S,Mr,0
male,30.0,13.0,,S,Mr,0
male,,31.0,,S,Mr,0
male,28.0,22.525,,S,Mr,0
male,24.0,31.5,,S,Mr,0
female,,14.5,,S,Mrs,0
female,16.0,46.9,,S,Miss,0
male,49.0,65.0,,S,Mr,0
male,42.0,52.5542,D19,S,Mr,1
female,30.5,7.75,,Q,Miss,0
female,,7.75,,Q,Miss,0
male,30.0,13.0,,S,Mr,0
male,30.0,13.0,,S,Mr,0
male,,23.45,,S,Mr,0
male,20.0,7.2292,,C,Mr,1
female,15.0,39.0,,S,Miss,1
male,23.0,11.5,,S,Mr,0
female,50.0,247.5208,B58,C,Mrs,1
male,0.75,13.775,,S,Master,0
male,36.5,17.4,,S,Mr,1
male,30.0,8.05,,S,Mr,0
male,23.0,13.0,,S,Mr,0
female,2.0,12.2875,,S,Miss,1
male,27.0,211.5,C82,C,Mr,0
female,,16.1,,S,Mrs,1
male,44.0,26.0,,S,Mr,0
male,49.0,0.0,B52,S,Mr,1
male,38.0,8.6625,,S,Mr,0
male,27.0,7.225,,C,Mr,0
male,49.0,89.1042,C92,C,Mr,1
male,19.0,14.5,,S,Mr,0
male,18.0,7.75,,S,Mr,0
female,64.0,83.1583,E45,C,Mrs,1
male,25.0,7.65,F,S,Mr,0
male,26.0,13.0,,S,Mr,0
female,34.0,23.0,,S,Mrs,1
male,,7.8292,,Q,Mr,0
male,32.0,13.0,,S,Mr,0
male,8.0,36.75,,S,Master,1
male,19.0,10.1708,,S,Mr,0
male,50.0,133.65,,S,Other,1
male,40.0,27.9,,S,Mr,0
female,25.0,7.775,,S,Miss,0
female,17.0,108.9,C65,C,Mrs,1
male,,8.7125,,C,Mr,0
female,47.0,52.5542,D35,S,Mrs,1
female,,69.55,,S,Miss,0
male,29.0,22.025,,S,Mr,1
female,18.0,262.375,B57,C,Miss,1
male,46.0,79.2,,C,Mr,0
male,,7.75,,Q,Mr,0
female,45.0,262.375,,C,Miss,1
female,33.0,27.75,,S,Mrs,1
male,22.0,9.35,,S,Mr,0
male,27.0,13.0,,S,Other,0
female,1.0,12.1833,,S,Miss,0
female,19.0,7.8792,,Q,Miss,1
male,28.0,8.05,,S,Mr,0
male,36.0,26.3875,E25,S,Mr,1
male,36.0,0.0,,S,Mr,0
female,31.0,26.25,,S,Mrs,1
male,26.0,7.8875,,S,Mr,0
female,16.0,7.65,,S,Miss,1
female,9.0,31.275,,S,Miss,0
female,24.0,19.2583,,C,Mrs,1
female,12.0,15.75,,S,Miss,1
male,31.0,7.7333,,Q,Mr,0
male,46.0,26.0,,S,Mr,0
male,26.0,7.8958,,S,Mr,0
female,43.0,211.3375,B3,S,Mrs,1
male,17.0,8.6625,,S,Mr,0
male,22.0,7.125,,S,Mr,0
female,,8.05,,S,Mrs,0
female,16.0,7.75,,Q,Miss,1
male,32.5,9.5,,S,Mr,0
male,62.0,26.55,,S,Mr,0
male,43.0,27.7208,D40,C,Mr,1
male,16.0,8.05,,S,Mr,0
female,52.0,93.5,B69,S,Mrs,1
female,3.0,13.775,,S,Miss,0
female,2.0,31.275,,S,Miss,0
male,38.0,153.4625,C91,S,Mr,0
male,,0.0,B102,S,Mr,0
female,60.0,26.0,,S,Mrs,0
female,36.0,262.375,B61,C,Miss,1
male,40.0,46.9,,S,Mr,0
male,21.0,7.7958,,S,Mr,1
female,47.0,14.5,,S,Mrs,0
female,38.0,7.775,,S,Miss,0
male,25.0,7.65,F,S,Mr,1
male,28.5,16.1,,S,Mr,0
male,17.0,8.6625,,S,Mr,0
female,45.0,52.5542,D19,S,Mrs,1
female,,7.8292,,Q,Miss,1
female,34.0,13.0,,S,Miss,1
male,49.0,56.9292,A20,C,Mr,1
male,,7.75,,Q,Mr,0
male,25.0,7.225,,C,Mr,0
male,22.5,7.225,,C,Mr,0
male,28.0,10.5,,S,Mr,0
male,19.0,263.0,C23,S,Mr,0
female,,15.2458,,C,Mrs,0
female,22.0,61.9792,B36,C,Miss,1
male,29.0,27.7208,,C,Mr,0
male,,8.05,,S,Mr,0
female,31.0,164.8667,C7,S,Miss,1
male,,8.05,,S,Mr,0
male,33.0,8.6625,,C,Mr,0
male,28.0,10.5,,S,Mr,0
male,,14.4542,,C,Mr,0
female,33.0,86.5,B77,S,Other,1
male,21.0,16.1,,S,Mr,0
male,19.0,36.75,,S,Mr,0
male,21.0,7.775,,S,Mr,1
female,23.0,7.925,,S,Miss,0
male,18.0,73.5,,S,Mr,0
male,9.0,31.3875,,S,Master,0
female,54.0,78.2667,D20,C,Miss,1
male,44.0,7.925,,S,Mr,1
male,34.0,8.05,,S,Mr,0
male,51.0,7.0542,,S,Mr,0
male,33.0,5.0,B51,S,Mr,0
male,16.0,20.25,,S,Mr,0
male,25.0,26.0,,S,Mr,0
male,19.0,7.8958,,S,Mr,0
female,24.0,27.0,,S,Mrs,1
male,26.0,30.0,C148,C,Mr,1
male,29.0,10.5,,S,Mr,0
male,30.0,12.7375,,C,Mr,1
female,39.0,108.9,C105,C,Other,1
male,27.0,26.0,,S,Mr,0
male,,7.8958,,S,Mr,0
female,17.0,7.7333,,Q,Miss,0
male,,7.8958,,S,Mr,0
male,34.0,21.0,,S,Mr,0
male,65.0,26.55,E38,S,Mr,0
female,26.0,7.8542,,S,Miss,1
male,40.0,16.0,,S,Mr,0
male,36.5,26.0,F2,S,Mr,0
female,21.0,7.75,,Q,Miss,0
male,18.0,7.75,,S,Mr,0
male,28.0,13.0,,S,Mr,0
male,42.0,26.55,,S,Mr,0
male,21.0,13.0,,S,Mr,0
female,,14.4583,,C,Mrs,0
male,22.0,7.225,,C,Mr,1
female,27.0,13.8583,,C,Miss,1
female,,7.75,,Q,Miss,1
male,41.0,7.125,,S,Mr,0
female,55.0,16.0,,S,Mrs,1
male,24.0,79.2,B86,C,Mr,0
female,30.0,6.95,,Q,Miss,1
male,32.5,211.5,C132,C,Mr,0
male,22.0,7.7958,,S,Mr,0
male,9.0,46.9,,S,Master,0
male,11.0,46.9,,S,Master,0
female,24.0,14.5,,S,Mrs,1
male,22.0,7.5208,,S,Mr,0
male,18.0,6.4958,,S,Mr,0
female,28.0,7.8958,,S,Miss,0
male,20.0,7.05,,S,Mr,0
female,52.0,78.2667,D20,C,Mrs,1
male,50.0,106.425,C86,C,Mr,0
female,,25.4667,,S,Miss,0
male,25.0,17.8,,S,Mr,0
female,17.0,16.1,,S,Miss,1
male,30.0,13.0,,S,Mr,0
male,,52.0,A14,S,Mr,0
male,31.0,52.0,B71,S,Mr,0
female,,7.75,,Q,Miss,1
male,35.0,8.05,,S,Mr,0
female,26.0,13.775,,S,Mrs,0
female,29.0,211.3375,B5,S,Miss,1
female,18.0,13.0,,S,Miss,1
male,40.0,15.5,,Q,Mr,0
female,24.0,27.7208,,C,Mrs,1
male,30.0,26.0,,S,Other,0
female,,8.05,,S,Miss,1
male,28.0,13.5,,S,Mr,0
female,,31.6833,,S,Mrs,1
male,42.0,13.0,,S,Mr,0
male,1.0,39.6875,,S,Master,0
male,,24.15,,Q,Mr,0
male,,0.0,,S,Mr,0
male,,14.4583,,C,Mr,0
male,25.0,10.5,,S,Mr,0
female,27.0,7.925,,S,Miss,1
female,23.0,83.1583,C54,C,Mrs,1
female,31.0,7.8542,,S,Miss,0
male,32.0,22.525,,S,Mr,0
female,26.0,26.0,,S,Mrs,0
female,31.0,113.275,D36,C,Miss,1
male,28.0,7.7958,,S,Mr,0
male,71.0,34.6542,A5,C,Mr,0
female,,7.55,,S,Miss,0
male,55.0,59.4,,C,Mr,0
female,47.0,7.0,,S,Mrs,1
male,28.0,22.525,,S,Mr,0
male,,69.55,,S,Mr,0
male,,7.75,,Q,Mr,0
male,2.0,21.075,,S,Master,0
female,19.0,16.1,,S,Mrs,0
male,,8.05,,S,Mr,0
female,44.0,26.0,,S,Mrs,0
male,33.0,26.55,,S,Mr,0
male,59.0,7.25,,S,Mr,0
male,25.0,91.0792,B49,C,Mr,1
male,20.0,9.8458,,S,Mr,0
female,62.0,80.0,B28,,Mrs,1
male,26.0,10.5,,S,Mr,0
male,21.0,7.7958,,S,Mr,1
male,,7.225,,C,Mr,0
male,23.0,7.8958,,S,Mr,0
male,30.0,151.55,C22,S,Mr,0
female,,89.1042,C92,C,Mrs,1
male,37.0,7.925,,S,Mr,0
female,36.0,13.0,,S,Miss,1
male,48.0,52.0,C126,S,Mr,1
male,18.0,8.6625,,S,Mr,0
female,,8.1125,,S,Mrs,0
male,,8.05,,S,Mr,0
female,63.0,9.5875,,S,Mrs,1
male,27.0,7.8542,,S,Mr,0
male,33.0,7.775,,S,Mr,0
male,24.0,16.1,,S,Mr,0
male,18.0,108.9,C65,C,Mr,0
female,5.0,31.3875,,S,Miss,1
male,23.0,93.5,B24,S,Mr,0
male,29.0,66.6,C2,S,Mr,0
male,,19.9667,,S,Mr,0
female,29.0,26.0,,S,Mrs,0
male,,21.6792,,C,Mr,0
male,28.0,15.85,,S,Mr,0
male,1.0,39.0,F4,S,Master,1
male,21.0,11.5,,S,Mr,0
female,,22.3583,,C,Mrs,1
female,35.0,20.25,,S,Mrs,1
female,,69.55,,S,Mrs,0
male,28.0,35.5,A6,S,Mr,1
male,42.0,13.0,,S,Mr,1
female,47.0,61.175,E31,S,Mrs,1
male,19.0,7.8958,,S,Mr,0
male,20.0,15.7417,,C,Mr,1
male,26.0,29.0,,S,Mr,1
male,,227.525,,C,Mr,0
female,17.0,14.4583,,C,Miss,0
female,28.0,263.0,C23,S,Miss,1
male,25.0,7.7958,,S,Mr,1
male,32.0,7.775,,S,Mr,1
male,41.0,13.0,,S,Other,0
female,31.0,21.0,,S,Miss,1
male,16.0,34.375,,S,Mr,0
male,37.0,53.1,C123,S,Mr,0
male,34.0,26.55,,S,Mr,1
male,,7.75,,Q,Mr,0
male,45.0,83.475,C83,S,Mr,0
male,36.0,7.4958,,S,Mr,0
male,,8.05,,S,Mr,0
male,24.0,10.5,,S,Mr,1
female,45.0,14.1083,,S,Mrs,1
male,49.0,0.0,,S,Mr,0
male,19.0,6.75,,Q,Mr,0
female,19.0,30.0,B42,S,Miss,1
female,14.0,11.2417,,C,Miss,1
male,39.0,0.0,A36,S,Mr,0
female,41.0,19.5,,S,Mrs,1
male,,6.8583,,Q,Mr,0
male,26.0,7.775,,S,Mr,0
male,25.0,7.775,,S,Mr,1
female,45.0,30.0,,S,Mrs,1
male,,7.75,,Q,Mr,0
male,28.0,26.55,C52,S,Mr,1
female,38.0,13.0,,S,Miss,0
female,29.0,26.0,,S,Mrs,1
male,16.0,18.0,,S,Mr,0
male,42.0,13.0,,S,Other,0
female,20.0,26.0,,S,Miss,1
male,45.0,6.975,,S,Mr,0
female,24.0,83.1583,C54,C,Miss,1
male,41.0,15.0458,,C,Mr,0
female,33.0,26.0,,S,Mrs,1
male,34.0,13.0,D56,S,Mr,1
male,60.0,26.55,,S,Other,0
female,18.0,9.35,,S,Mrs,1
female,25.0,151.55,C22,S,Mrs,0
male,54.0,55.4417,C116,C,Mr,1
male,,22.3583,,C,Master,1
male,27.0,8.6625,,S,Mr,0
male,36.0,24.15,,S,Mr,0
male,36.0,120.0,B96,S,Mr,1
female,34.0,32.5,,S,Mrs,1
female,28.0,12.65,,S,Mrs,1
male,,15.5,,Q,Mr,0
male,,0.0,,S,Mr,0
female,22.0,21.0,,S,Mrs,0
female,,15.5,,Q,Miss,1
female,29.0,7.925,,S,Miss,0
male,24.0,7.7958,,S,Mr,0
male,,8.05,,S,Mr,0
male,32.0,7.75,,Q,Mr,0
male,23.5,7.2292,,C,Mr,0
male,39.0,13.0,,S,Mr,0
female,19.0,26.0,,S,Mrs,1
male,24.0,7.25,,Q,Mr,0
female,,23.45,,S,Mrs,0
